geracao,jogador,media_pontos,vitorias,tempo_vivo_medio,kills,bombas_colocadas,mortes,fitness,tempo_fuga,chance_bomba,margem_seguranca,cautela_bomba,chance_ataque,distancia_perseguir,distancia_bloqueio,chance_bloqueio,tempo_perigo_iminente,max_passos_fuga,margem_tempo_base,persistencia_movimento
1,1,5850.0,1,111.34066666666281,0,83,1,5120.725333333303,24,0.37,1,0.32,0.23,6,6,0.34,0.84,9,0.5,2
1,2,9066.666666666666,2,111.47666666666187,1,73,0,13058.479999999961,65,0.13,3,1.35,0.15,5,6,0.44,0.7,10,0.34,2
1,3,5683.333333333333,1,76.61600000000094,1,45,2,6416.261333333341,47,0.21,1,1.17,0.38,5,5,0.64,0.64,11,0.44,4
1,4,5850.0,1,94.8169999999971,1,48,1,7408.535999999976,21,0.35,1,1.48,0.21,2,6,0.58,0.83,11,0.37,2
2,1,6233.333333333333,2,84.34666666666182,2,35,1,11748.106666666627,24,0.37,1,0.32,0.23,6,6,0.34,0.84,9,0.5,2
2,2,6250.0,2,94.87999999999509,2,68,1,10529.03999999996,47,0.29,3,1.84,0.27,6,8,0.29,1.0,9,0.43,2
2,3,5516.666666666667,1,62.65999999999966,1,45,2,6137.946666666665,35,0.44,3,1.1,0.59,7,4,0.37,1.18,6,0.41,4
2,4,10416.666666666666,3,122.92066666666416,1,82,0,16640.031999999977,66,0.19,1,1.81,0.2,7,5,0.28,0.8,10,0.42,1
3,1,6483.333333333333,2,82.86199999999559,2,58,1,11066.229333333296,10,0.37,1,0.66,0.45,6,5,0.35,0.94,9,0.51,1
3,2,10066.666666666666,2,90.75033333333444,3,45,1,16252.669333333342,63,0.13,3,1.12,0.3,5,7,0.32,0.7,12,0.33,3
3,3,5700.0,1,65.29666666666607,2,54,2,7002.373333333329,21,0.42,1,1.1,0.59,2,7,0.42,1.18,7,0.32,1
3,4,6183.333333333333,2,160.28766666666158,1,75,0,10485.634666666625,66,0.17,2,1.81,0.22,7,5,0.29,0.86,10,0.43,1
